iteration,mean_perf,stderr_perf
0,5.6640625,0.0
1,6.73828125,0.0
2,13.427734375,0.0
3,17.1875,0.0
4,20.80078125,0.0
5,21.09375,0.0
6,22.021484375,0.0
7,23.876953125,0.0
8,25.9765625,0.0
9,34.033203125,0.0
10,40.673828125,0.0
11,47.900390625,0.0
12,52.294921875,0.0
13,53.076171875,0.0
14,52.490234375,0.0
15,57.2265625,0.0
16,69.775390625,0.0
17,65.869140625,0.0
18,64.0625,0.0
19,69.287109375,0.0
20,71.6796875,0.0
21,68.896484375,0.0
22,73.73046875,0.0
23,68.017578125,0.0
24,80.859375,0.0
25,78.076171875,0.0
26,80.37109375,0.0
27,79.19921875,0.0
28,77.83203125,0.0
29,81.73828125,0.0
30,80.56640625,0.0
31,83.203125,0.0
32,80.17578125,0.0
33,78.466796875,0.0
34,77.294921875,0.0
35,82.763671875,0.0
36,84.375,0.0
37,80.322265625,0.0
38,82.91015625,0.0
39,85.595703125,0.0
40,85.205078125,0.0
41,85.3515625,0.0
42,83.349609375,0.0
43,83.349609375,0.0
44,82.12890625,0.0
45,81.8359375,0.0
46,83.740234375,0.0
47,86.42578125,0.0
48,87.01171875,0.0
49,87.5,0.0
50,87.59765625,0.0
51,85.107421875,0.0
52,88.8671875,0.0
53,89.111328125,0.0
54,88.037109375,0.0
55,88.134765625,0.0
56,88.916015625,0.0
57,89.35546875,0.0
58,87.40234375,0.0
59,86.767578125,0.0
60,89.84375,0.0
61,90.380859375,0.0
62,89.013671875,0.0
63,87.01171875,0.0
64,87.548828125,0.0
65,86.9140625,0.0
66,89.306640625,0.0
67,89.2578125,0.0
68,86.865234375,0.0
69,88.18359375,0.0
70,90.185546875,0.0
71,90.234375,0.0
72,90.380859375,0.0
73,87.939453125,0.0
74,85.888671875,0.0
75,87.40234375,0.0
76,87.890625,0.0
77,87.841796875,0.0
78,90.625,0.0
79,88.671875,0.0
80,88.671875,0.0
81,88.0859375,0.0
82,89.306640625,0.0
83,89.306640625,0.0
84,89.208984375,0.0
85,90.52734375,0.0
86,90.625,0.0
87,90.673828125,0.0
88,91.50390625,0.0
89,90.673828125,0.0
90,90.087890625,0.0
91,89.6484375,0.0
92,90.771484375,0.0
93,91.015625,0.0
94,91.50390625,0.0
95,91.455078125,0.0
96,90.8203125,0.0
97,91.796875,0.0
98,91.89453125,0.0
99,92.1875,0.0
100,91.89453125,0.0
101,93.212890625,0.0
102,92.578125,0.0
103,91.30859375,0.0
104,90.4296875,0.0
105,91.357421875,0.0
106,91.50390625,0.0
107,92.67578125,0.0
108,92.822265625,0.0
109,91.162109375,0.0
110,92.08984375,0.0
111,91.89453125,0.0
112,92.919921875,0.0
113,92.48046875,0.0
114,92.1875,0.0
115,91.30859375,0.0
116,91.015625,0.0
117,91.2109375,0.0
118,92.236328125,0.0
119,91.50390625,0.0
120,91.2109375,0.0
121,92.626953125,0.0
122,91.943359375,0.0
123,93.115234375,0.0
124,92.138671875,0.0
125,92.48046875,0.0
126,91.357421875,0.0
127,90.966796875,0.0
128,92.48046875,0.0
129,93.1640625,0.0
130,93.212890625,0.0
131,93.359375,0.0
132,92.138671875,0.0
133,93.75,0.0
134,93.1640625,0.0
135,93.65234375,0.0
136,93.06640625,0.0
137,94.091796875,0.0
138,93.701171875,0.0
139,93.1640625,0.0
140,93.701171875,0.0
141,94.775390625,0.0
142,93.505859375,0.0
143,93.505859375,0.0
144,93.408203125,0.0
145,92.87109375,0.0
146,93.505859375,0.0
147,92.96875,0.0
148,93.310546875,0.0
149,93.408203125,0.0
150,93.798828125,0.0
151,92.7734375,0.0
152,92.333984375,0.0
153,93.65234375,0.0
154,93.408203125,0.0
155,93.5546875,0.0
156,92.919921875,0.0
157,94.3359375,0.0
158,93.26171875,0.0
159,93.212890625,0.0
160,92.3828125,0.0
161,92.87109375,0.0
162,93.896484375,0.0
163,93.408203125,0.0
164,93.896484375,0.0
165,94.140625,0.0
166,93.65234375,0.0
167,92.578125,0.0
168,94.384765625,0.0
169,93.9453125,0.0
170,94.23828125,0.0
171,94.140625,0.0
172,92.3828125,0.0
173,92.578125,0.0
174,93.115234375,0.0
175,94.189453125,0.0
176,94.384765625,0.0
177,93.9453125,0.0
178,94.189453125,0.0
179,93.9453125,0.0
180,93.994140625,0.0
181,92.87109375,0.0
182,92.96875,0.0
183,94.189453125,0.0
184,94.62890625,0.0
185,94.3359375,0.0
186,93.505859375,0.0
187,94.384765625,0.0
188,95.068359375,0.0
189,94.677734375,0.0
190,94.873046875,0.0
191,94.43359375,0.0
192,94.189453125,0.0
193,94.580078125,0.0
194,94.384765625,0.0
195,93.994140625,0.0
196,93.5546875,0.0
197,94.62890625,0.0
198,93.26171875,0.0
199,93.26171875,0.0
200,94.287109375,0.0
201,92.87109375,0.0
202,94.873046875,0.0
203,94.580078125,0.0
204,93.75,0.0
205,94.189453125,0.0
206,93.9453125,0.0
207,94.873046875,0.0
208,94.53125,0.0
209,94.140625,0.0
210,95.263671875,0.0
211,94.775390625,0.0
212,94.7265625,0.0
213,94.580078125,0.0
214,94.580078125,0.0
215,94.7265625,0.0
216,94.140625,0.0
217,94.287109375,0.0
218,93.06640625,0.0
219,93.359375,0.0
220,94.921875,0.0
221,94.43359375,0.0
222,93.798828125,0.0
223,93.9453125,0.0
224,92.431640625,0.0
225,91.9921875,0.0
226,92.529296875,0.0
227,93.5546875,0.0
228,96.2890625,0.0
229,95.99609375,0.0
230,94.53125,0.0
231,94.3359375,0.0
232,93.115234375,0.0
233,93.798828125,0.0
234,93.310546875,0.0
235,93.310546875,0.0
236,93.5546875,0.0
237,93.603515625,0.0
238,94.53125,0.0
239,95.1171875,0.0
240,93.994140625,0.0
241,94.82421875,0.0
242,94.23828125,0.0
243,93.26171875,0.0
244,93.896484375,0.0
245,92.67578125,0.0
246,94.970703125,0.0
247,95.947265625,0.0
248,95.21484375,0.0
249,94.23828125,0.0
250,93.701171875,0.0
251,94.287109375,0.0
252,94.53125,0.0
253,93.505859375,0.0
254,92.919921875,0.0
255,93.45703125,0.0
256,93.310546875,0.0
257,94.62890625,0.0
258,95.458984375,0.0
259,94.677734375,0.0
260,95.60546875,0.0
261,94.04296875,0.0
262,93.994140625,0.0
263,94.677734375,0.0
264,94.82421875,0.0
265,94.189453125,0.0
266,95.01953125,0.0
267,95.751953125,0.0
268,96.044921875,0.0
269,95.5078125,0.0
270,95.166015625,0.0
271,95.21484375,0.0
272,95.21484375,0.0
273,94.82421875,0.0
274,94.873046875,0.0
275,95.263671875,0.0
276,96.484375,0.0
277,95.166015625,0.0
278,95.60546875,0.0
279,95.8984375,0.0
280,95.947265625,0.0
281,95.80078125,0.0
282,95.41015625,0.0
283,95.263671875,0.0
284,95.751953125,0.0
285,95.849609375,0.0
286,95.556640625,0.0
287,95.5078125,0.0
288,94.970703125,0.0
289,94.482421875,0.0
290,94.287109375,0.0
291,94.384765625,0.0
292,94.580078125,0.0
293,94.82421875,0.0
294,94.970703125,0.0
295,95.60546875,0.0
296,95.5078125,0.0
297,93.9453125,0.0
298,94.189453125,0.0
299,94.189453125,0.0
300,94.873046875,0.0
301,95.458984375,0.0
302,95.60546875,0.0
303,95.166015625,0.0
304,95.166015625,0.0
305,94.82421875,0.0
306,95.458984375,0.0
307,94.970703125,0.0
308,96.142578125,0.0
309,96.240234375,0.0
310,95.849609375,0.0
311,95.166015625,0.0
312,94.775390625,0.0
313,95.361328125,0.0
314,95.703125,0.0
315,95.8984375,0.0
316,95.263671875,0.0
317,95.41015625,0.0
318,95.654296875,0.0
319,94.82421875,0.0
320,95.751953125,0.0
321,95.60546875,0.0
322,95.458984375,0.0
323,96.435546875,0.0
324,96.044921875,0.0
325,96.09375,0.0
326,96.142578125,0.0
327,95.947265625,0.0
328,95.5078125,0.0
329,95.21484375,0.0
330,95.3125,0.0
331,94.7265625,0.0
332,95.068359375,0.0
333,95.21484375,0.0
334,95.263671875,0.0
335,95.751953125,0.0
336,96.435546875,0.0
337,96.337890625,0.0
338,96.97265625,0.0
339,95.947265625,0.0
340,95.703125,0.0
341,95.654296875,0.0
342,95.849609375,0.0
343,96.19140625,0.0
344,96.240234375,0.0
345,96.337890625,0.0
346,96.044921875,0.0
347,95.556640625,0.0
348,95.21484375,0.0
349,96.484375,0.0
350,95.556640625,0.0
351,95.458984375,0.0
352,96.2890625,0.0
353,96.77734375,0.0
354,96.337890625,0.0
355,96.533203125,0.0
356,96.044921875,0.0
357,96.6796875,0.0
358,96.337890625,0.0
359,96.337890625,0.0
360,96.044921875,0.0
361,96.38671875,0.0
362,95.458984375,0.0
363,96.19140625,0.0
364,96.142578125,0.0
365,95.703125,0.0
366,95.8984375,0.0
367,96.728515625,0.0
368,95.947265625,0.0
369,95.556640625,0.0
370,95.8984375,0.0
371,96.240234375,0.0
372,96.6796875,0.0
373,96.19140625,0.0
374,96.2890625,0.0
375,95.80078125,0.0
376,96.728515625,0.0
377,95.99609375,0.0
378,95.80078125,0.0
379,96.435546875,0.0
380,95.849609375,0.0
381,95.849609375,0.0
382,96.2890625,0.0
383,95.361328125,0.0
384,96.09375,0.0
385,95.654296875,0.0
386,96.484375,0.0
387,96.044921875,0.0
388,95.8984375,0.0
389,96.240234375,0.0
390,96.38671875,0.0
