iteration,mean_perf,stderr_perf
0,14.0625,0.0
1,15.0390625,0.0
2,17.138671875,0.0
3,20.1171875,0.0
4,29.345703125,0.0
5,29.4921875,0.0
6,26.7578125,0.0
7,25.830078125,0.0
8,25.830078125,0.0
9,28.515625,0.0
10,27.44140625,0.0
11,29.4921875,0.0
12,32.958984375,0.0
13,51.171875,0.0
14,66.650390625,0.0
15,66.650390625,0.0
16,62.744140625,0.0
17,66.9921875,0.0
18,72.412109375,0.0
19,74.21875,0.0
20,73.193359375,0.0
21,72.4609375,0.0
22,75.146484375,0.0
23,73.681640625,0.0
24,74.462890625,0.0
25,77.099609375,0.0
26,71.58203125,0.0
27,73.193359375,0.0
28,73.974609375,0.0
29,72.36328125,0.0
30,68.701171875,0.0
31,70.80078125,0.0
32,66.064453125,0.0
33,70.5078125,0.0
34,77.099609375,0.0
35,76.611328125,0.0
36,70.947265625,0.0
37,70.21484375,0.0
38,70.263671875,0.0
39,67.333984375,0.0
40,66.2109375,0.0
41,68.994140625,0.0
42,75.634765625,0.0
43,77.490234375,0.0
44,77.783203125,0.0
45,82.470703125,0.0
46,84.423828125,0.0
47,85.64453125,0.0
48,85.986328125,0.0
49,85.205078125,0.0
50,86.767578125,0.0
51,84.912109375,0.0
52,84.86328125,0.0
53,84.033203125,0.0
54,86.03515625,0.0
55,87.40234375,0.0
56,88.916015625,0.0
57,88.4765625,0.0
58,87.01171875,0.0
59,87.890625,0.0
60,86.962890625,0.0
61,87.451171875,0.0
62,87.40234375,0.0
63,84.912109375,0.0
64,82.275390625,0.0
65,84.130859375,0.0
66,82.470703125,0.0
67,84.27734375,0.0
68,85.7421875,0.0
69,84.86328125,0.0
70,82.763671875,0.0
71,83.837890625,0.0
72,83.3984375,0.0
73,84.86328125,0.0
74,86.9140625,0.0
75,83.3984375,0.0
76,81.298828125,0.0
77,79.443359375,0.0
78,84.5703125,0.0
79,88.330078125,0.0
80,87.353515625,0.0
81,88.76953125,0.0
82,87.060546875,0.0
83,85.64453125,0.0
84,87.20703125,0.0
85,87.451171875,0.0
86,87.353515625,0.0
87,86.42578125,0.0
88,86.181640625,0.0
89,85.302734375,0.0
90,85.107421875,0.0
91,86.572265625,0.0
92,86.71875,0.0
93,85.791015625,0.0
94,85.15625,0.0
95,81.93359375,0.0
96,81.4453125,0.0
97,80.859375,0.0
98,83.203125,0.0
99,85.05859375,0.0
100,87.451171875,0.0
101,87.841796875,0.0
102,85.9375,0.0
103,87.5,0.0
104,87.20703125,0.0
105,90.185546875,0.0
106,89.453125,0.0
107,89.990234375,0.0
108,87.890625,0.0
109,87.5,0.0
110,88.134765625,0.0
111,89.0625,0.0
112,88.720703125,0.0
113,89.306640625,0.0
114,90.234375,0.0
115,88.818359375,0.0
116,88.37890625,0.0
117,88.037109375,0.0
118,89.697265625,0.0
119,89.501953125,0.0
120,89.453125,0.0
121,88.916015625,0.0
122,87.353515625,0.0
123,88.57421875,0.0
124,89.453125,0.0
125,87.841796875,0.0
126,87.255859375,0.0
127,86.9140625,0.0
128,85.595703125,0.0
129,87.40234375,0.0
130,87.060546875,0.0
131,85.791015625,0.0
132,87.890625,0.0
133,87.5,0.0
134,87.98828125,0.0
135,86.279296875,0.0
136,87.6953125,0.0
137,89.16015625,0.0
138,89.16015625,0.0
139,88.96484375,0.0
140,88.18359375,0.0
141,87.841796875,0.0
142,87.79296875,0.0
143,87.109375,0.0
144,86.572265625,0.0
145,88.671875,0.0
146,88.037109375,0.0
147,87.59765625,0.0
148,87.841796875,0.0
149,88.0859375,0.0
150,87.060546875,0.0
151,89.013671875,0.0
152,89.2578125,0.0
153,88.57421875,0.0
154,86.474609375,0.0
155,86.572265625,0.0
156,88.916015625,0.0
157,89.697265625,0.0
158,90.13671875,0.0
159,88.916015625,0.0
160,90.576171875,0.0
161,90.72265625,0.0
162,90.33203125,0.0
163,89.6484375,0.0
164,89.892578125,0.0
165,88.4765625,0.0
166,87.79296875,0.0
167,87.255859375,0.0
168,88.623046875,0.0
169,86.767578125,0.0
170,88.0859375,0.0
171,87.20703125,0.0
172,85.9375,0.0
173,85.25390625,0.0
174,85.44921875,0.0
175,86.71875,0.0
176,87.3046875,0.0
177,87.890625,0.0
178,89.55078125,0.0
179,88.427734375,0.0
180,86.71875,0.0
181,87.109375,0.0
182,86.669921875,0.0
183,87.59765625,0.0
184,88.037109375,0.0
185,86.328125,0.0
186,87.5,0.0
187,88.134765625,0.0
188,87.98828125,0.0
189,89.208984375,0.0
190,89.84375,0.0
191,87.939453125,0.0
192,90.33203125,0.0
193,87.939453125,0.0
194,88.818359375,0.0
195,88.427734375,0.0
196,87.59765625,0.0
197,88.232421875,0.0
198,88.76953125,0.0
199,88.4765625,0.0
200,84.66796875,0.0
201,84.912109375,0.0
202,86.328125,0.0
203,86.962890625,0.0
204,88.818359375,0.0
205,89.208984375,0.0
206,87.548828125,0.0
207,89.111328125,0.0
208,88.18359375,0.0
209,87.98828125,0.0
210,89.35546875,0.0
211,89.6484375,0.0
212,89.74609375,0.0
213,89.55078125,0.0
214,87.20703125,0.0
215,85.546875,0.0
216,86.181640625,0.0
217,87.01171875,0.0
218,86.572265625,0.0
219,86.376953125,0.0
220,84.912109375,0.0
221,86.865234375,0.0
222,87.79296875,0.0
223,87.353515625,0.0
224,86.279296875,0.0
225,85.791015625,0.0
226,86.71875,0.0
227,88.525390625,0.0
228,89.35546875,0.0
229,89.74609375,0.0
230,88.232421875,0.0
231,88.427734375,0.0
232,87.98828125,0.0
233,87.6953125,0.0
234,86.62109375,0.0
235,88.18359375,0.0
236,85.986328125,0.0
237,85.25390625,0.0
238,87.158203125,0.0
239,86.23046875,0.0
240,85.693359375,0.0
241,87.79296875,0.0
242,86.81640625,0.0
243,88.720703125,0.0
244,89.990234375,0.0
245,90.234375,0.0
246,87.646484375,0.0
247,88.232421875,0.0
248,88.671875,0.0
249,85.986328125,0.0
250,88.28125,0.0
251,86.81640625,0.0
252,88.18359375,0.0
253,87.98828125,0.0
254,87.255859375,0.0
255,87.939453125,0.0
256,86.083984375,0.0
257,86.71875,0.0
258,87.841796875,0.0
259,87.890625,0.0
260,88.037109375,0.0
261,86.962890625,0.0
262,86.9140625,0.0
263,88.57421875,0.0
264,87.060546875,0.0
265,87.40234375,0.0
266,85.986328125,0.0
267,84.86328125,0.0
268,84.716796875,0.0
269,83.544921875,0.0
270,83.447265625,0.0
271,83.349609375,0.0
272,84.47265625,0.0
273,84.033203125,0.0
274,84.08203125,0.0
275,84.619140625,0.0
276,81.640625,0.0
277,82.8125,0.0
278,83.30078125,0.0
279,82.12890625,0.0
280,82.12890625,0.0
281,81.0546875,0.0
282,83.837890625,0.0
283,85.9375,0.0
284,83.740234375,0.0
285,79.58984375,0.0
286,78.90625,0.0
287,79.931640625,0.0
288,84.423828125,0.0
289,85.302734375,0.0
290,81.93359375,0.0
291,81.396484375,0.0
292,80.6640625,0.0
293,81.54296875,0.0
294,81.396484375,0.0
295,81.787109375,0.0
296,84.27734375,0.0
297,81.640625,0.0
298,81.25,0.0
299,82.91015625,0.0
300,82.32421875,0.0
301,84.5703125,0.0
302,84.86328125,0.0
303,84.86328125,0.0
304,83.10546875,0.0
305,80.712890625,0.0
306,77.099609375,0.0
307,75.9765625,0.0
308,73.583984375,0.0
309,73.095703125,0.0
310,71.19140625,0.0
311,69.3359375,0.0
312,69.7265625,0.0
313,70.166015625,0.0
314,68.5546875,0.0
315,70.41015625,0.0
316,69.677734375,0.0
317,71.142578125,0.0
