iteration,mean_perf,stderr_perf
0,9.912109375,0.18094976705322
1,31.083984375,2.806946723236999
2,41.4892578125,2.51520460576921
3,48.3349609375,2.9719575207530915
4,52.3828125,2.8016812439009215
5,55.244140625,2.694824960938184
6,60.703125,2.64451169623905
7,66.044921875,2.2995022995427106
8,69.7216796875,1.6594611813439397
9,71.4208984375,1.2320662527972017
10,71.58203125,1.0012081054186002
11,72.8076171875,0.8114043453279165
12,76.318359375,0.5790703636258127
13,76.7724609375,0.8018341998646209
14,77.236328125,1.0187241959895597
15,78.037109375,0.6926713135275521
16,79.306640625,0.7045777935860785
17,80.0,0.8754089852864101
18,79.6923828125,0.7820108735178715
19,80.13671875,0.5970357362242029
20,81.708984375,0.5564026202922264
21,82.255859375,0.5116065034070052
22,82.34375,0.6324744976734226
23,83.0712890625,0.520632387179828
24,83.57421875,0.43253867817377833
25,83.8916015625,0.16267087380643802
26,83.9453125,0.37925621903490164
27,84.052734375,0.36007960440168835
28,84.736328125,0.47066755498958973
29,85.5517578125,0.5577935071621178
30,85.4345703125,0.482334116968706
31,85.4296875,0.6052499464636303
32,85.537109375,0.5546668680141768
33,85.9423828125,0.41434915085110907
34,85.78125,0.4294408225010542
35,87.2607421875,0.3051443126136444
36,86.8603515625,0.24451468739669158
37,87.529296875,0.459618817570906
38,87.34375,0.36494645699989947
39,87.3876953125,0.28786516081271984
40,87.0361328125,0.37928765012132865
41,87.626953125,0.28797097076297484
42,87.900390625,0.2767692908723955
43,88.212890625,0.29889478196294894
44,88.056640625,0.3190436313491104
45,88.14453125,0.24390179290272385
46,87.9638671875,0.36548684200660186
47,88.330078125,0.3038872537175674
48,88.37890625,0.3907606101412142
49,88.2373046875,0.47971268655743454
50,88.5693359375,0.3581801745135411
51,87.9443359375,0.3173160319700795
52,88.544921875,0.3544442080420885
53,88.8525390625,0.2329294342017461
54,89.072265625,0.19172596774254194
55,89.091796875,0.4006816354368459
56,88.61328125,0.33043170678253964
57,88.525390625,0.20664805010551923
58,89.0673828125,0.2844770870088492
59,89.052734375,0.29068117316674247
60,89.4677734375,0.19974489897112468
61,89.1943359375,0.39056056868795186
62,89.0087890625,0.3573656900758852
63,89.04296875,0.43485977114705143
64,89.296875,0.32954864872441075
65,89.4775390625,0.1965631076552003
66,89.755859375,0.21318508242230388
67,90.283203125,0.22137810072811595
68,90.0244140625,0.27746235635108146
